name,z,lat,lon,cortarNo
제주시 건입동,14,33.514858,126.531625,5011010700
제주시 용담삼동,14,33.515889,126.49716,5011011000
제주시 화북일동,14,33.51975,126.564092,5011011100
제주시 화북이동,14,33.501598,126.563638,5011011200
제주시 삼양일동,14,33.523356,126.599053,5011011300
제주시 삼양이동,14,33.521222,126.584822,5011011400
제주시 삼양삼동,14,33.5246,126.576957,5011011500
제주시 봉개동,14,33.491693,126.594725,5011011600
제주시 아라일동,14,33.447712,126.557737,5011011700
제주시 아라이동,14,33.477271,126.552696,5011011800
제주시 오라일동,14,33.494525,126.516493,5011011900
제주시 오라이동,14,33.431403,126.52072,5011012000
제주시 오라삼동,14,33.493065,126.505043,5011012100
제주시 노형동,14,33.483085,126.477175,5011012200
제주시 외도일동,14,33.483018,126.43113,5011012300
제주시 외도이동,14,33.493191,126.428762,5011012400
제주시 이호일동,14,33.498429,126.456464,5011012500
제주시 이호이동,14,33.491871,126.461379,5011012600
제주시 도두일동,14,33.500973,126.472372,5011012700
제주시 도두이동,14,33.502684,126.482852,5011012800
제주시 도남동,14,33.488,126.5245,5011012900
제주시 도련일동,14,33.505941,126.586863,5011013000
제주시 도련이동,14,33.512235,126.596894,5011013100
제주시 용강동,14,33.4454,126.5972,5011013200
제주시 회천동,14,33.4771,126.6303,5011013300
제주시 오등동,14,33.4205,126.5472,5011013400
제주시 월평동,14,33.4304,126.5896,5011013500
제주시 영평동,14,33.4449,126.5736,5011013600
제주시 연동,14,33.488376,126.49685,5011013700
제주시 도평동,14,33.4791,126.4521,5011013800
제주시 해안동,14,33.4194,126.4678,5011013900
제주시 내도동,14,33.4906,126.443,5011014000
제주시 한림읍,14,33.410432,126.267088,5011025000
제주시 애월읍,14,33.46201,126.329488,5011025300
제주시 구좌읍,14,33.522567,126.852037,5011025600
제주시 조천읍,14,33.5344,126.634188,5011025900
제주시 한경면,14,33.350124,126.184113,5011031000
제주시 추자면,14,33.96371,126.296088,5011032000
제주시 우도면,14,33.506525,126.953438,5011033000
